Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1207 of 2012,Senate Bill,Public utilities; electric utilities; electric utility leasing electric generation facility from affiliated entity; specify what costs may be included in rates. Amends sec. 6a of 1939 PA 3 (MCL 460.6a).Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
SB 1208 of 2012,Senate Bill,"Health; occupations; licensing of nurse midwives; revise, and regulate freestanding birthing centers. Amends secs. 2701, 2705, 2709, 5119, 16146, 16148, 16161, 16163, 16327, 17201, 17210, 17211, 17221, 20104, 20106 & 20161 of 1978 PA 368 (MCL 333.2701 et seq.) & adds secs.17202, 17210a & 17221a & pt. 208A.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 1209 of 2012,Senate Bill,"Criminal procedure; sentencing guidelines; offense variable 10 related to the exploitation of a vulnerable victim; expand definition of predatory conduct to include preoffense conduct directed at a law enforcement officer posing as a potential victim. Amends sec. 40, ch. XVII of 1927 PA 175 (MCL 777.40).Last Action: referred to Committee on Judiciary"
SB 1210 of 2012 (PA 0502 of 2012),Senate Bill,"Economic development; brownfield redevelopment authority; community revitalization program and historic resources; include and provide other general amendments. Amends secs. 2, 4, 8, 13, 15 & 16 of 1996 PA 381 (MCL 125.2652 et seq.) & adds sec. 8a.Last Action: ASSIGNED PA 0502'12 WITH IMMEDIATE EFFECT"
SB 1211 of 2012 (PA 0564 of 2012),Senate Bill,"Crime victims; rights; victim notification of paroled prisoner escape, commutation, death, or parole board hearing; require, and allow victim to address parole board under certain circumstances. Amends secs. 19, 20, 21 & 48 of 1985 PA 87 (MCL 780.769 et seq.).Last Action: ASSIGNED PA 0564'12"
SB 1212 of 2012,Senate Bill,"Environmental protection; water pollution; oceangoing vessels engaging in port operations; authorize permit if ballast tanks have been flushed with sea water. Amends sec. 3112 of 1994 PA 451 (MCL 324.3112).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 1213 of 2012,Senate Bill,Crimes; penalties; crime of soliciting sex act from a minor who is at least 16 years of age; increase penalties. Amends secs. 448 & 451 of 1931 PA 328 (MCL 750.448 & 750.451).Last Action: referred to Committee on Judiciary
SB 1214 of 2012,Senate Bill,"Corrections; parole; standard of review for parole board release decisions; modify, and allow for attorney general intervention. Amends sec. 34 of 1953 PA 232 (MCL 791.234).Last Action: referred to second reading"
SB 1215 of 2012,Senate Bill,"Probate; guardians and conservators; court-appointed guardianship of minors; replace references to family independence agency with department of human services and allow the court to assess costs of a court-ordered investigation against the parties. Amends secs. 5204, 5207, 5208, 5209 & 5213 of 1998 PA 386 (MCL 700.5204 et seq.).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1216 of 2012,Senate Bill,"Juveniles; other; court-appointed guardianship of minors in EPIC cases; eliminate. Amends secs. 18 & 18g, ch. XIIA of 1939 PA 288 (MCL 712A.18 & 712A.18g).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1217 of 2012,Senate Bill,Juveniles; other; cross-reference to probate code; revise. Amends sec. 5 of 1996 PA 263 (MCL 400.1305).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1218 of 2012,Senate Bill,Juveniles; other; youth rehabilitation services act; revise reference to juvenile code. Amends sec. 7 of 1974 PA 150 (MCL 803.307).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1219 of 2012,Senate Bill,Elections; voters; declaration of United States citizenship when voting or applying for an absent voter ballot; require. Amends secs. 523 & 759 of 1954 PA 116 (MCL 168.523 & 168.759) & adds sec. 766a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 1220 of 2012,Senate Bill,Torts; governmental immunity; liability for sewer system backups; require amount of economic damages to be determined by a hearing officer. Amends sec. 19 of 1964 PA 170 (MCL 691.1419).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 1221 of 2012,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of soliciting a minor 16 years of age or older to commit prostitution; provide to reflect increased penalty. Amends sec. 16w, ch. XVII of 1927 PA 175 (MCL 777.16w).  TIE BAR WITH: SB 1213'12Last Action: referred to Committee on Judiciary"
SB 1222 of 2012,Senate Bill,Gaming; lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25).Last Action: referred to Committee on Regulatory Reform
SB 1223 of 2012,Senate Bill,Health; pharmaceuticals; pharmacist interchanging an anticonvulsant drug without notification to and consent of prescribing physician and patient; prohibit. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 17769.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1224 of 2012,Senate Bill,"Labor; hours and wages; family education leave act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 1225 of 2012,Senate Bill,"Economic development; other; business improvement districts; modify. Amends secs. 10, 10a, 10b, 10c, 10e, 10f, 10g, 10h, 10i, 10k & 10l of 1961 PA 120 (MCL 125.990 et seq.); adds sec. 10n & repeals sec. 10d of 1961 PA 120 (MCL 125.990d).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
SB 1226 of 2012,Senate Bill,Vehicles; fund-raising registration plates; distribution of funds from sale of fund-raising license plate for girl scouts of America; clarify. Amends secs. 3 & 4 of 2010 PA 347 (MCL 206.923 & 206.924).  TIE BAR WITH: SB 1227'12Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1227 of 2012,Senate Bill,Vehicles; fund-raising registration plates; fund-raising plates for girl scouts of America; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811v.  TIE BAR WITH: SB 1226'12Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1228 of 2012,Senate Bill,"Campaign finance; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 1229 of 2012,Senate Bill,Crimes; other; gaining access to agricultural production facility through false statement or representation; prohibit and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 411x.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1230 of 2012,Senate Bill,Mobile homes; parks; bond for cleanup of mobile home park; require posting by owner. Amends sec. 16 of 1987 PA 96 (MCL 125.2316).Last Action: referred to Committee on Regulatory Reform
SB 1231 of 2012,Senate Bill,Traffic control; traffic regulation; requirement for operator of vehicle to activate interior lights during a traffic stop during certain hours; implement. Amends sec. 602a of 1949 PA 300 (MCL 257.602a).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1232 of 2012 (PA 0565 of 2012),Senate Bill,Children; adoption; Michigan Indian family preservation act (MIFPA); create. Amends 1939 PA 288 (MCL 710.21 - 712A.32) by adding ch. XIIB.Last Action: ASSIGNED PA 0565'12 WITH IMMEDIATE EFFECT
SB 1233 of 2012,Senate Bill,Traffic control; traffic regulation; authorized agent of county road commission; allow to carry firearm under certain circumstances. Amends sec. 726c of 1949 PA 300 (MCL 257.726c).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1234 of 2012,Senate Bill,School aid; membership; age and date requirement for entering school and being counted in membership; revise in school aid act. Amends sec. 6 of 1979 PA 94 (MCL 388.1606).Last Action: referred to second reading
SB 1235 of 2012,Senate Bill,"Natural resources; nonnative species; list of prohibited species or restricted species; remove department authority to revise. Amends secs. 41301 & 41302 of 1994 PA 451 (MCL 324.41301 & 324.41302).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 1236 of 2012,Senate Bill,Animals; other; reference to certain contact with large carnivore over 20 weeks of age; modify and make other general revisions. Amends secs. 2 & 22 of 2000 PA 274 (MCL 287.1102 & 287.1122).Last Action: VETOED BY GOVERNOR 12/28/2012
SB 1237 of 2012,Senate Bill,"Health facilities; certificate of need; all-payer claims database; create. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 22216, 22217 & 22218.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 1238 of 2012 (PA 0619 of 2012),Senate Bill,"Natural resources; funding; Michigan natural resources trust fund; modify procedures for selection of land acquisition and development projects. Amends secs. 1902, 1905, 1907 & 1907a of 1994 PA 451 (MCL 324.1902 et seq.).Last Action: ASSIGNED PA 0619'12 WITH IMMEDIATE EFFECT"
SB 1239 of 2012 (PA 0620 of 2012),Senate Bill,Education; financing; strict discipline academy access to long-term borrowing abilities; provide for. Amends secs. 1311b & 1311h of 1976 PA 451 (MCL 380.1311b & 380.1311h).Last Action: ASSIGNED PA 0620'12
SB 1240 of 2012 (PA 0590 of 2012),Senate Bill,Torts; liability; social services agency; grant immunity for providing child social welfare programs. Creates new act.Last Action: ASSIGNED PA 0590'12 WITH IMMEDIATE EFFECT
SB 1241 of 2012,Senate Bill,Traffic control; civil infraction procedures; provision regarding waiver of fine for violation of infant seat requirements; eliminate. Amends sec. 907 of 1949 PA 300 (MCL 257.907).Last Action: referred to Committee on Transportation
SB 1242 of 2012,Senate Bill,Children; child care; requirements for certification in cardiopulmonary resuscitation and release of certain records; modify. Amends secs. 2a & 10 of 1973 PA 116 (MCL 722.112a & 722.120).Last Action: referred to second reading
SB 1243 of 2012 (PA 0621 of 2012),Senate Bill,Economic development; other; appropriation of money from the transportation economic development fund to state trunk line fund; extend to 2013. Amends sec. 11 of 1987 PA 231 (MCL 247.911).Last Action: ASSIGNED PA 0621'12 WITH IMMEDIATE EFFECT
SB 1244 of 2012,Senate Bill,Communications; broadcasting; local zoning restrictions for amateur radio; require to conform to federal regulations. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 205a.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 1245 of 2012,Senate Bill,Human services; medical services; Michigan compliance with expanding medicaid coverage to certain poverty level; prohibit. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 105c.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1246 of 2012,Senate Bill,"Highways; name; portion of I-94 in Kalamazoo county; designate as the ""Officer Eric Zapata Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 69.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 1247 of 2012,Senate Bill,Agriculture; animals; official identification on swine; require. Amends 1988 PA 466 (MCL 287.701 - 287.746) by adding sec. 11c.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 1248 of 2012,Senate Bill,Agriculture; animals; containment regulations for swine raised outside of an enclosed building; clarify. Amends 1988 PA 466 (MCL 287.701 - 287.746) by adding sec. 17b.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 1249 of 2012,Senate Bill,Agriculture; animals; penalties for feral swine running at large; increase fines under certain circumstances. Amends sec. 2 of 1976 PA 328 (MCL 433.12).Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 1250 of 2012,Senate Bill,Agriculture; animals; disease testing of swine under certain circumstances; require. Amends sec. 33 of 1992 PA 239 (MCL 287.833).Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 1251 of 2012,Senate Bill,Property tax; appeals; local units of government to pass resolution to shorten time period of board of review hearings; allow. Amends sec. 30 of 1893 PA 206 (MCL 211.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1252 of 2012,Senate Bill,Law enforcement; training; certification requirement for law enforcement officers; provide a refresher course for certain individuals. Amends 1965 PA 203 (MCL 28.601 - 28.616) by adding sec. 9e.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1253 of 2012,Senate Bill,Vehicles; fund-raising registration plates; fund-raising plate for Sleeping Bear dunes national lakeshore; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811u.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1254 of 2012,Senate Bill,Elections; absent voters; electronic return of absentee ballots for overseas and military voters; allow. Amends sec. 759a of 1954 PA 116 (MCL 168.759a).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 1255 of 2012,Senate Bill,Insurance; property and casualty; pay-as-you-drive automobile insurance; allow insurers to offer. Amends sec. 2111 of 1956 PA 218 (MCL 500.2111) & adds sec. 2111b.Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 1256 of 2012,Senate Bill,Economic development; neighborhood enterprise zones; neighborhood enterprise zone eligibility; expand. Amends sec. 4 of 1992 PA 147 (MCL 207.774).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 1257 of 2012,Senate Bill,Taxation; other; airport parking tax adjustments related to health care; clarify. Amends sec. 7a of 1987 PA 248 (MCL 207.377a).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1258 of 2012 (PA 0307 of 2012),Senate Bill,Trade; securities; filing fees for registration under uniform securities act; revise. Amends sec. 410 of 2008 PA 551 (MCL 451.2410).Last Action: ASSIGNED PA 0307'12 WITH IMMEDIATE EFFECT
SB 1259 of 2012 (PA 0308 of 2012),Senate Bill,"Occupations; licensing fees; licensing and regulation fund; establish, and revise fees for various professions. Amends secs. 2, 3, 13, 15, 17, 21, 23, 25, 27, 29, 31, 37, 38, 39, 43 & 62 of 1979 PA 152 (MCL 338.2202 et seq.) & adds sec. 5a.Last Action: ASSIGNED PA 0308'12 WITH IMMEDIATE EFFECT"
SB 1260 of 2012,Senate Bill,Property tax; principal residence exemption; appeal process for principal residence exemption; revise. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1261 of 2012 (PA 0574 of 2012),Senate Bill,"Natural resources; other; Michigan civilian conservation corps; modify program and authorize another entity to establish and operate a Michigan civilian conservation corps. Amends secs. 2, 3 & 4 of 1984 PA 22 (MCL 409.302 et seq.) & adds heading for ch. I.  TIE BAR WITH: SB 1262'12, SB 1263'12, SB 1264'12, SB 1265'12Last Action: ASSIGNED PA 0574'12 WITH IMMEDIATE EFFECT"
SB 1262 of 2012 (PA 0575 of 2012),Senate Bill,"Natural resources; other; Michigan civilian conservation corps act; modify program and authorize another entity to establish and operate a Michigan civilian conservation corps. Amends secs. 5, 7, 8 & 9 of 1984 PA 22 (MCL 409.305 et seq.) & adds sec. 6a.  TIE BAR WITH: SB 1261'12, SB 1263'12, SB 1264'12, SB 1265'12Last Action: ASSIGNED PA 0575'12 WITH IMMEDIATE EFFECT"
SB 1263 of 2012 (PA 0576 of 2012),Senate Bill,"Natural resources; other; Michigan civilian conservation corps; modify, and authorize another entity to establish and operate a Michigan civilian conservation corps. Amends sec. 13 of 1984 PA 22 (MCL 409.313); adds sec. 14 & ch. II & repeals secs. 6 & 12 of 1984 PA 22 (MCL 409.306 & 409.312).  TIE BAR WITH: SB 1261'12, SB 1262'12, SB 1264'12, SB 1265'12Last Action: ASSIGNED PA 0576'12 WITH IMMEDIATE EFFECT"
SB 1264 of 2012 (PA 0577 of 2012),Senate Bill,"Natural resources; other; Michigan civilian conservation corps; modify program and authorize another entity to establish and operate a Michigan civilian conservation corps. Amends 1984 PA 22 (MCL 409.301 - 409.313) by adding secs. 25 & 26.  TIE BAR WITH: SB 1261'12, SB 1262'12, SB 1263'12, SB 1265'12Last Action: ASSIGNED PA 0577'12 WITH IMMEDIATE EFFECT"
SB 1265 of 2012 (PA 0578 of 2012),Senate Bill,"Natural resources; other; Michigan civilian conservation corps; modify, and authorize another entity to establish and operate a Michigan civilian conservation corps. Amends secs. 11 & 12a of 1984 PA 22 (MCL 409.311 & 409.312a).  TIE BAR WITH: SB 1261'12, SB 1262'12, SB 1263'12, SB 1264'12Last Action: ASSIGNED PA 0578'12 WITH IMMEDIATE EFFECT"
SB 1266 of 2012,Senate Bill,Sales tax; exemptions; tax-exempt status on aggregate sales for fund-raising purposes for certain nonprofit organizations; include veterans service organizations. Amends sec. 4o of 1933 PA 167 (MCL 205.54o).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1267 of 2012 (PA 0579 of 2012),Senate Bill,Employment security; benefits; sunset for shared-work plan; remove. Amends sec. 28c of 1936 (Ex Sess) PA 1 (MCL 421.28c).Last Action: ASSIGNED PA 0579'12 WITH IMMEDIATE EFFECT
SB 1268 of 2012,Senate Bill,"Environmental protection; solid waste; manure, paunch, or filter-cake by-product; exempt from definition of solid waste when used for an agricultural purpose. Amends sec. 11506 of 1994 PA 451 (MCL 324.11506).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 1269 of 2012,Senate Bill,"Health facilities; hospitals; new hospital to be built by McLaren health system; allow. Amends secs. 22203, 22207, 22209, 22211, 22213, 22215 & 22219 of 1978 PA 368 (MCL 333.22203 et seq.) & repeals sec. 22226 of 1978 PA 368 (MCL 333.22226).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1"
SB 1270 of 2012,Senate Bill,Elections; absent voters; overseas and military voters; allow absentee ballots postmarked by the close of the polls on election day to be counted and tabulated. Amends sec. 759a of 1954 PA 116 (MCL 168.759a).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 1271 of 2012,Senate Bill,"Elections; registration; electronic registration for voting and address revisions; allow, and clarify secretary of state's powers and duties. Amends secs. 31, 509v, 509w & 509x of 1954 PA 116 (MCL 168.31 et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 1272 of 2012 (PA 0493 of 2012),Senate Bill,Employment security; contribution rate; distribution of contributions; modify. Amends sec. 13 of 1936 (Ex Sess) PA 1 (MCL 421.13).Last Action: ASSIGNED PA 0493'12 WITH IMMEDIATE EFFECT
SB 1273 of 2012,Senate Bill,State financing and management; funds; oil and gas royalty revenue earmarked to state parks endowment fund; require to earmark funds to Michigan transportation fund for local roads when cap is reached. Amends sec. 1904 of 1994 PA 451 (MCL 324.1904).  TIE BAR WITH: SB 1274'12Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1274 of 2012,Senate Bill,Transportation; funds; Michigan transportation fund; amend to provide for expenditure of money from the endowment fund. Amends 1951 PA 51 (MCL 247.65 - 247.675) by adding sec. 10q.  TIE BAR WITH: SB 1273'12Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1275 of 2012,Senate Bill,State financing and management; funds; requirement for state agencies to post certain public expenditures; provide for. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 447.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1276 of 2012,Senate Bill,"Natural resources; wildlife; designation of biodiversity areas; prohibit by DNR and remove biological diversity from list of state forest management goals. Amends secs. 504, 35101, 35501, 35502, 35503 & 52502 of 1994 PA 451 (MCL 324.504 et seq.) & repeals secs. 35504 - 35506 of 1994 PA 451 (MCL 324.35504 - 324.35506).Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 1277 of 2012,Senate Bill,Consumer protection; unfair trade practices; sale of mattresses advertised as new or custom-made; prohibit if manufactured with any material from used mattresses. Amends sec. 3 of 1976 PA 331 (MCL 445.903).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 1278 of 2012,Senate Bill,State; symbol; birding capital of Michigan; designate as Iosco county. Creates new act.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 1279 of 2012,Senate Bill,Occupations; electricians; electrical work for which licensure is required; exclude certain work in manufacturing or mining operations. Amends sec. 7 of 1956 PA 217 (MCL 338.887).Last Action: referred to Committee on Regulatory Reform
SB 1280 of 2012 (PA 0622 of 2012),Senate Bill,"Natural resources; land acquisition; land exchange facilitation funds; increase maximum balance and allow sale of state land, otherwise needed to meet department objective, for forestry or mineral industry use. Amends secs. 2131 & 2132 of 1994 PA 451 (MCL 324.2131 & 324.2132).Last Action: ASSIGNED PA 0622'12 WITH IMMEDIATE EFFECT"
SB 1281 of 2012 (PA 0440 of 2012),Senate Bill,Labor; hours and wages; definition of payroll debit card; revise permitted issuers. Amends sec. 6 of 1978 PA 390 (MCL 408.476).Last Action: ASSIGNED PA 0440'12 WITH IMMEDIATE EFFECT
SB 1282 of 2012,Senate Bill,Financial institutions; generally; deposit of stolen property in certain depository institutions; limit availability of treble damages under revised judicature act Amends sec. 2919a of 1961 PA 236 (MCL 600.2919a).Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 1283 of 2012 (PA 0442 of 2012),Senate Bill,"Financial institutions; mortgage brokers and lenders; mortgage loans to which mortgage brokers, lenders, and servicers licensing act apply; revise. Amends sec. 1a of 1987 PA 173 (MCL 445.1651a).Last Action: ASSIGNED PA 0442'12 WITH IMMEDIATE EFFECT"
SB 1284 of 2012 (PA 0443 of 2012),Senate Bill,Consumer credit; lending practices; application of consumer mortgage protection act to certain mortgage transactions; modify. Amends sec. 2 of 2002 PA 660 (MCL 445.1632).Last Action: ASSIGNED PA 0443'12 WITH IMMEDIATE EFFECT
SB 1285 of 2012 (PA 0444 of 2012),Senate Bill,Consumer credit; lending practices; mortgage loan subject to mortgage lending practices statute; modify. Amends sec. 1 of 1977 PA 135 (MCL 445.1601).Last Action: ASSIGNED PA 0444'12 WITH IMMEDIATE EFFECT
SB 1286 of 2012,Senate Bill,Property tax; exemptions; real property leased to a charitable nonprofit organization and used as a retail store; exempt. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7oo.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1287 of 2012,Senate Bill,"Property tax; classification; allocation of qualified forest property recapture tax; modify. Amends sec. 5 of 2006 PA 379 (MCL 211.1035).  TIE BAR WITH: HB 4302'11, HB 4969'11, HB 4970'11, SB 1057'12, SB 1058'12, SB 1059'12, SB 1061'12, SB 1062'12Last Action: referred to second reading"
SB 1288 of 2012,Senate Bill,"Taxation; other; severance tax to fund the qualified forest program; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 1289 of 2012,Senate Bill,Transportation; funds; distribution of comprehensive transportation fund; modify. Amends sec. 10e of 1951 PA 51 (MCL 247.660e).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1290 of 2012,Senate Bill,Liquor; licenses; ability to refill growlers of beer; provide for certain licensees. Amends sec. 537 of 1998 PA 58 (MCL 436.1537).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 1291 of 2012 (PA 0580 of 2012),Senate Bill,Occupations; alarm systems; registration of alarm system services providers; provide for. Creates new act.Last Action: ASSIGNED PA 0580'12 WITH IMMEDIATE EFFECT
SB 1292 of 2012 (PA 0581 of 2012),Senate Bill,Occupations; alarm systems; registered alarm system providers; exclude from private security business and security alarm act. Amends sec. 2 of 1968 PA 330 (MCL 338.1052).  TIE BAR WITH: SB 1291'12Last Action: ASSIGNED PA 0581'12 WITH IMMEDIATE EFFECT
SB 1293 of 2012,Senate Bill,"Insurance; health; regulations applicable to nonprofit mutual disability insurer; revise to accommodate merger with nonprofit health care corporation. Amends secs. 2213b, 3705, 3712, 5008, 5104, 5209, 5800 & 5824 of 1956 PA 218 (MCL 500.2213b et seq.) & adds secs. 5801 & 5805.  TIE BAR WITH: SB 1294'12Last Action: VETOED BY GOVERNOR 12/28/2012"
SB 1294 of 2012,Senate Bill,"Insurance; health care corporations; merger of corporation with a nonprofit mutual disability insurer; allow, and provide procedures. Amends secs. 218 & 401e of 1980 PA 350 (MCL 550.1218 & 550.1401e) & adds secs. 220, 401l, 401m & 620.  TIE BAR WITH: SB 1293'12Last Action: POCKET VETO 01/10/2013"
SB 1295 of 2012,Senate Bill,Law enforcement; other; certain records of probation to be provided to the Michigan commission on law enforcement standards; require. Amends sec. 7411 of 1978 PA 368 (MCL 333.7411).Last Action: referred to Committee on Judiciary
SB 1296 of 2012 (PA 0582 of 2012),Senate Bill,Civil procedure; statute of limitations; statute of repose for actions against an attorney-at-law or a law firm; enact. Amends secs. 5805 & 5838 of 1961 PA 236 (MCL 600.5805 & 600.5838) & adds sec. 5838b.Last Action: ASSIGNED PA 0582'12 WITH IMMEDIATE EFFECT
SB 1297 of 2012,Senate Bill,"Employment security; benefits; collection of unemployment insurance benefits for school employees during certain period; allow. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 1298 of 2012,Senate Bill,Income tax; collections; withholding requirement for certain members of a flow-through entity; clarify. Amends sec. 703 of 1967 PA 281 (MCL 206.703).Last Action: referred to second reading
SB 1299 of 2012,Senate Bill,"Counties; financing; retention of certain recording fees, otherwise deposited in state survey and remonumentation fund; allow for certain counties as reimbursement for cost of expediting survey and remonumentation plan. Amends sec. 2567a of 1961 PA 236 (MCL 600.2567a).  TIE BAR WITH: SB 1300'12Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1"
SB 1300 of 2012,Senate Bill,"State financing and management; funds; eligibility for grants from state survey and remonumentation fund; eliminate for counties retaining certain recording fees as reimbursement for costs of expediting survey and remonumentation plan. Amends secs. 8, 12 & 15 of 1990 PA 345 (MCL 54.268 et seq.).  TIE BAR WITH: SB 1299'12Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 1301 of 2012,Senate Bill,"Local government; port authorities; general amendments; provide for. Amends secs. 2, 4, 5, 8, 9, 10, 12, 13, 14, 18, 22, 23 & 24 of 1978 PA 639 (MCL 120.102 et seq.); adds secs. 1a, 1b, 7a, 15a, 16a, 24a & 24b & repeals sec. 16 of 1978 PA 639 (MCL 120.116).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 1302 of 2012,Senate Bill,State financing and management; authorities; Michigan port authority; create authority and prescribe duties. Creates new act.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 1303 of 2012,Senate Bill,"Children; parental rights; probate court jurisdiction to terminate parental rights of a parent who is or will be imprisoned for 2 or more years for offense against a child; provide for. Amends secs. 13a, 18f & 19a, ch. XIIA of 1939 PA 288 (MCL 712A.13a et seq.).  TIE BAR WITH: SB 0694'11Last Action: referred to second reading"
SB 1304 of 2012,Senate Bill,Torts; liability; private landing field open to public; establish limited liability for aviation-related activities. Amends sec. 73301 of 1994 PA 451 (MCL 324.73301).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1305 of 2012 (PA 0441 of 2012),Senate Bill,"Insurance; property and casualty; rating and underwriting requirements; modify. Amends secs. 2110a, 2111, 2117, 2119 & 2121 of 1956 PA 218 (MCL 500.2110a et seq.).Last Action: ASSIGNED PA 0441'12 WITH IMMEDIATE EFFECT"
SB 1306 of 2012,Senate Bill,"Traffic control; driver license; designation of veteran status on driver license; provide for. Amends sec. 310 of 1949 PA 300 (MCL 257.310).Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY"
SB 1307 of 2012 (PA 0613 of 2012),Senate Bill,Criminal procedure; sentencing; verification of school enrollment or employment of individual released from jail to attend school or for employment purposes; amend day parole act to require and provide for conditions of release. Amends sec. 1 of 1962 PA 60 (MCL 801.251) & adds sec. 1a.Last Action: ASSIGNED PA 0613'12 WITH IMMEDIATE EFFECT
